Year,Name,Genre,IMDB,Rotten T,Rotten Audience,Metacritic,Google_user,PR,Country,Language,Comic,Animation,Tv_series,Budget,Box_office,Run_time,Month
,,,,,,,,,,,,,,,,,
2021,The Last Duel,Drama/Historical Drama,7.4,85,81,67,73%,7,UK,English,no,no,no,100,30.6,153,January
2021,Ghostbusters: Afterlife,Fantasy/Comedy,7.1,63,94,45,76%,6.5,USA,English,no,no,no,75,204.4,124,January
2021,Hawkeye,Action/Superhero,7.5,88,89,66,89%,7.5,USA,English,yes,no,yes,150,0,40-62,January
2021,Operation Java,Crime/Drama,8.2,0,0,0,96%,7.5,India,Malayalam,no,no,no,0,0,146,January
2021,Eternals,Action/Superhero,6.3,47,77,52,71%,6.5,USA,English,yes,no,no,200,402,156,January
2018,Johnny English Strikes Again,Comedy/Adventure,6.2,37,49,39,84%,5.5,UK,English,no,no,no,25,159,89,January
2011,The Raid Redemption,Action/Martial Arts,7.6,87,87,73,88%,7,Indonesia,Indonesian,no,no,no,1.1,9.3,101,January
2021,The Witcher,Fantasy/Adventure,8.2,81,74,62,93%,8,USA,English,no,no,yes,0,0,47-67,January
2007,The Mist,Horror/Thriller,7.1,72,65,58,84%,7,USA,English,no,no,no,18,57.3,126,January
2021,Only Murders in the Building,Comedy/Mystery,8.1,100,92,77,89%,8,USA,English,no,no,yes,0,0,26-38,January
2021,Lupin,Mystery/Thriller,7.5,97,79,81,94%,8,France,French,no,no,yes,0,0,40-52,January
2014,Batman: Assault on Arkham,Action/Superhero,7.4,75,85,0,68%,7,USA,English,yes,yes,no,0,0,76,January
2007,Superman: Doomsday,Action/Superhero,7,50,57,0,72%,7.5,USA,English,yes,yes,no,3.5,10,77,February
2019,Reign of the Superman,Action/Superhero,6.7,93,74,83,73%,7,USA,English,yes,yes,no,0,0.4223,87,February
2019,The Mandalorian,Sci-Fi/Drama,8.8,95,92,71,96%,8.5,USA,English,yes,no,yes,0,0,30-50,February
2013,Superman: Unbound,Action/Superhero,6.5,100,75,0,69%,6,USA,English,yes,yes,no,0,0,75,February
1987,The Untouchables,Crime/Drama,7.9,82,89,79,85%,8,USA,English,no,no,no,25,106.2,119,February
1999,Eyes wide shut,Mystery/Drama,7.5,76,74,68,79%,6.5,USA,English,no,no,no,65,162,159,February
2014,The Raid 2,Action/Thriller,7.9,82,87,71,89%,7.5,Indonesia,Indonesian,no,no,no,4.5,6.77,150,February
2014,Justice League: War,Action/Superhero,7.3,57,79,0,85%,7,USA,English,yes,yes,no,0,0,79,February
2015,Justice League: Throne of Atlantis,Action/Superhero,6.7,63,63,0,62%,6,USA,English,yes,yes,no,0,0,72,February
2016,Headshot,Action/Drama,6.3,74,58,61,70%,6,Indonesia,Indonesian,no,no,no,0,2.7,118,February
2019,Justice League vs Fatal Five,Action/Superhero,6.5,100,68,0,66%,7,USA,English,yes,yes,no,0,0,77,February
2021,Nayattu,Thriller/Survival,8.2,100,100,0,88%,7,India,Malayalam,no,no,no,0,0,122,February
2013,The Lone Ranger,Western/Action,6.4,31,51,37,72%,7.5,USA,English,no,no,no,240,260.5,149,February
1997,Air Force One,Action/Thriller,6.5,78,66,61,84%,7.5,USA,English,no,no,no,85,315.2,124,February
2017,Batman Vs. Two Face,Action/Superhero,6.1,100,62,69,68%,6,USA,English,yes,yes,no,0,0,72,February
2021,Kota Factory (S2),Drama,9,0,90,0,95%,8,India,Hindi,no,no,no,0,0,30-45,March
2022,All of us are dead,Drama,7.6,87,79,67,96%,8,South Korea,Korean,no,no,no,0,0,53-72,March
2021,Midnight Mass,Horror,7.7,87,78,75,87%,7.5,USA,English,no,no,no,0,0,60-71,March
2011,Blitz,Action/Thriller,6.1,48,36,0,80%,6,UK,English,no,no,no,0,15.8,97,March
2015,And Then There Were none,Mystery/Crime,7.8,80,91,82,87%,7,UK,English,no,no,no,0,0,180,March
2016,Te3n,Mystery/Thriller,7.2,67,68,0,64%,6,India,Hindi,no,no,no,340,323,136,March
2020,Alice in Borderland,Thriller/Survival,7.6,78,91,0,95%,7,Japan,Japanese,manga,no,yes,0,0,41-80,March
2012,Superman vs The Elite,Action/Superhero,7,80,75,0,67%,7,USA,English,yes,yes,no,,0,0,March
2020,Tell Me What Your Saw,Crime/Thriller,7.8,0,0,0,94%,8,South Korea,Korean,no,no,yes,0,0,60,March
1994,True Lies,Action/Comedy,7.3,70,76,63,92%,7,USA,English,no,no,no,120,379,141,March
2018,Jim Button And Luke The Engine Driver,Fantasy/Adventure,6.3,0,0,0,77%,5,Germany,English,no,no,no,0,0,110,March
2007,Manorama Six Feet Under,Thriller/Mystery,7.5,0,75,0,62%,7,India,Hindi,no,no,no,0,0,138,March
2009,13B: Fear Has a New Address,Thriller/Horror,7.3,83,63,0,80%,7.5,India,Hindi,no,no,no,12,23,142,March
2016,Wazir,Thriller/Action,7.1,56,53,0,72%,6,India,Hindi,no,no,no,4.4,9.9,104,March
2021,Malignant,Horror/Thriller,6.3,76,52,51,63%,7,USA,English,no,no,no,40,34.9,111,March
2022,Death on the Nile,Mystry/Crime,6.3,62,82,52,66%,5,UK,English,no,no,no,90,137.3,127,March
2007,Doctor Strange Sorcerer Supreme,Action/Superhero,6.6,0,58,0,79%,6.5,USA,English,yes,yes,no,0,0,96,April
2014,Divergent,Sci-fi/Action,6.7,41,69,48,74%,7,USA,English,no,no,no,88,288.9,140,April
2010,Red,Action/Comedy,7,71,72,60,73%,7,USA,English,no,no,no,60,199,111,April
2015,Insurgent,Sci-fi/Action,6.2,28,58,42,79%,6,USA,English,no,no,no,110,297.3,119,April
2016,Allegiant,Sci-fi/Action,5.7,11,41,33,78%,5,USA,English,no,no,no,135,179.2,121,April
2022,The Pirates The Last Royal Treasure,Adventure/Action,6.1,60,61,0,86%,7,South Korea,Korean,no,no,no,18,10.5,126,April
2022,Salute,Thriller/Crime,7,0,0,0,74%,7.5,India,Malayalam,no,no,no,0,0,143,April
2022,The Contractor,Action/Thriller,5.7,44,72,52,58%,5,USA,English,no,no,no,0,2.1,103,April
2022,The Adam Project,Sci-fi/Adventure,6.7,67,73,55,81%,7,USA,English,no,no,no,116,0,106,April
2018,Parallel,Sci-fi/Drama,5.8,82,44,0,72%,5.5,Canada,English,no,no,no,0,0,104,April
2022,Midnight At the Pera Palace,Historical Film/Drama,7.1,0,90,0,96%,7.5,Turkish,Turkey,no,no,yes,0,0,45,April
